,crash_id,lat,long,street,severity,illumination,weather,road_conditon,year,day,hour,date,day_n_nite_dummy
155817,2019086419,40.4534,-80.0039,COMMONS ST,1,1.0,3.0,1.0,2019,3,17.0,2019-8,True
155818,2019086421,40.4568,-79.9988,TRIPOLI ST,1,1.0,3.0,1.0,2019,3,17.0,2019-8,True
155836,2019063112,40.397,-79.9787,E AGNEW AV,1,1.0,3.0,1.0,2019,6,17.0,2019-6,True
155838,2019063125,40.4972,-79.9317,SR 0028 SH,1,1.0,3.0,1.0,2019,1,17.0,2019-5,True
155841,2019086543,40.4392,-80.0074,FORT PITT BL,1,1.0,3.0,1.0,2019,3,17.0,2019-8,True
155846,2019083465,40.3606,-79.9908,BROWNSVILLE RD,1,1.0,3.0,1.0,2019,6,17.0,2019-8,True
155853,2019072678,40.4428,-79.9914,CROSSTOWN BL INT/RP B RD,1,1.0,3.0,1.0,2019,6,17.0,2019-7,True
155854,2019076186,40.4082,-79.8178,MAPLE AV,1,1.0,3.0,1.0,2019,2,17.0,2019-7,True
155856,2019076194,40.4417,-80.0307,SAW MILL RUN BL,1,1.0,3.0,1.0,2019,2,17.0,2019-7,True
155860,2019076275,40.6504,-80.037,GRAHAM RD,1,1.0,3.0,1.0,2019,2,17.0,2019-7,True
155864,2019059366,40.4142,-80.0439,CARNAHAN RD,1,1.0,3.0,1.0,2019,3,17.0,2019-6,True
155873,2019059591,40.3923,-80.047,PARKER DR,1,1.0,3.0,1.0,2019,3,17.0,2019-6,True
155874,2019076279,40.4062,-79.9784,WAGNER ST,1,1.0,3.0,1.0,2019,2,17.0,2019-7,True
155897,2019059888,40.6048,-79.7565,LOCK ST,1,1.0,3.0,1.0,2019,3,17.0,2019-6,True
155907,2019076519,40.3433,-79.9638,LEBANON CHURCH RD,1,1.0,3.0,1.0,2019,2,17.0,2019-7,True
155956,2019063181,40.488,-79.9556,EAST OHIO ST,1,1.0,3.0,1.0,2019,6,17.0,2019-6,True
155996,2019076905,40.5427,-80.2055,STOOPS FERRY RD,1,1.0,3.0,1.0,2019,5,17.0,2019-7,True
156007,2019077052,40.3756,-80.1024,RAYMOND P SHAFER HW,1,1.0,3.0,1.0,2019,3,17.0,2019-7,True
